id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name
19801324,2019-01-22,swaroop_shetty,research,https://www.inaturalist.org/observations/19801324,https://static.inaturalist.org/photos/30521200/medium.jpeg,"Kolya, Kumpala Village, Someshwar, Karnataka 575022, India",12.8011441869,74.8565717787,Dakshin Kannad,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
19878672,2019-01-26,gerard25,research,https://www.inaturalist.org/observations/19878672,https://static.inaturalist.org/photos/30654124/medium.jpeg,"Tumkur Rd, Lakkenahalli, Karnataka 561101, India",13.11607284,77.15618978,Ramanagara,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
19878685,2019-01-26,gerard25,research,https://www.inaturalist.org/observations/19878685,https://static.inaturalist.org/photos/30654140/medium.jpeg,"Tumkur Rd, Lakkenahalli, Karnataka 561101, India",13.11612197,77.15618973,Ramanagara,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
21560001,2019-03-24,subbu107,research,https://www.inaturalist.org/observations/21560001,https://inaturalist-open-data.s3.amazonaws.com/photos/33369133/medium.jpg,"Thurahalli, Bengaluru, Karnataka 560062, India",12.8814775407,77.5261452598,Bangalore,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
27159455,2019-06-16,firos_ak,research,https://www.inaturalist.org/observations/27159455,https://inaturalist-open-data.s3.amazonaws.com/photos/42225462/medium.jpeg,"Savandurga Hill, Karnataka",12.9205893,77.2944334,Ramanagara,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
28946666,2019-02-17,suhelq,research,https://www.inaturalist.org/observations/28946666,https://inaturalist-open-data.s3.amazonaws.com/photos/45150415/medium.jpeg,"Nandi Hills, Karnataka, India",13.37527,77.6763416667,Chikballapura,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
29226154,2019-06-30,subbu107,research,https://www.inaturalist.org/observations/29226154,https://inaturalist-open-data.s3.amazonaws.com/photos/45613286/medium.jpg,"Savanadurga State Forest, Karnataka, India",12.8782040927,77.3042289291,Ramanagara,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
30183694,2019-07-28,aman17,research,https://www.inaturalist.org/observations/30183694,https://inaturalist-open-data.s3.amazonaws.com/photos/47140392/medium.jpg,"End Point, Manipal, Karnataka 576104",13.3707066,74.7849119,Udupi,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
34299008,2019-10-12,kulbhushansingh,research,https://www.inaturalist.org/observations/34299008,https://inaturalist-open-data.s3.amazonaws.com/photos/53962075/medium.jpeg,"10, Canara Bank Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka 560065, India",13.0708789825,77.5802154541,Bangalore,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
34861897,2019-10-14,hiouf,research,https://www.inaturalist.org/observations/34861897,https://inaturalist-open-data.s3.amazonaws.com/photos/54920839/medium.jpg,"Lakkipura, Karnataka, India",11.7348406407,76.6010767191,Chamrajnagar,Karnataka,Giant Honey Bee,Apis dorsata,Giant Honey Bee,Insecta,245955,Apidae,Apis
